lambda	estimate	std.error	conf.low	conf.high	nzero
0.297283642919059	0.53125	0.0425164123478221	0.488733587652178	0.573766412347822	0
0.283771642551489	0.40625	0.0635521014504275	0.342697898549572	0.469802101450428	1
0.270873783453652	0.34375	0.050722975228681	0.293027024771319	0.394472975228681	2
0.258562151957037	0.322916666666667	0.0456523503061712	0.277264316360496	0.368569016972838	2
0.246810103112445	0.302083333333333	0.0510389108603495	0.251044422472984	0.353122244193683	2
0.235592203024739	0.291666666666667	0.0542674750447874	0.237399191621879	0.345934141711454	2
0.224884173808568	0.291666666666667	0.0542674750447874	0.237399191621879	0.345934141711454	2
0.21466284104594	0.260416666666667	0.0430424860689515	0.217374180597715	0.303459152735618	2
0.204906083631924	0.25	0.0431823104309667	0.206817689569033	0.293182310430967	3
0.195592785899947	0.25	0.0431823104309667	0.206817689569033	0.293182310430967	4
0.186702791923071	0.25	0.0362177911400147	0.213782208859985	0.286217791140015	4
0.178216861892344	0.25	0.0362177911400147	0.213782208859985	0.286217791140015	4
0.170116630477822	0.25	0.0362177911400147	0.213782208859985	0.286217791140015	4
0.162384567082151	0.229166666666667	0.0311082174580229	0.198058449208644	0.26027488412469	5
0.155003937900683	0.21875	0.0337479042178125	0.185002095782187	0.252497904217813	6
0.147958769706013	0.21875	0.0337479042178125	0.185002095782187	0.252497904217813	6
0.141233815278577	0.197916666666667	0.0329769724182882	0.164939694248378	0.230893639084955	6
0.134814520408469	0.1875	0.0298422636471913	0.157657736352809	0.217342263647191	7
0.128686992397085	0.1875	0.0298422636471913	0.157657736352809	0.217342263647191	10
0.122837969990412	0.166666666666667	0.0306396150143968	0.13602705165227	0.197306281681064	11
0.1172547946789	0.166666666666667	0.0306396150143968	0.13602705165227	0.197306281681064	12
0.111925383301793	0.15625	0.0270892681056919	0.129160731894308	0.183339268105692	12
0.106838201896639	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	13
0.101982240737381	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	14
0.0973469905069995	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	14
0.0929224195531562	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	15
0.0886989521775913	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	16
0.0846674479123096	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	16
0.0808191817376926	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	16
0.0771458251997289	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	16
0.0736394283854951	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	18
0.0702924027178792	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	18
0.0670975045323105	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	19
0.0640478193999521	0.135416666666667	0.0267308496506427	0.108685817016024	0.162147516317309	20
0.0611367471634288	0.125	0.0258597037847573	0.0991402962152427	0.150859703784757	20
0.0583579876527039	0.125	0.0258597037847573	0.0991402962152427	0.150859703784757	20
0.0557055270501922	0.104166666666667	0.0311082174580229	0.0730584492086438	0.13527488412469	21
0.0531736248755986	0.104166666666667	0.0311082174580229	0.0730584492086438	0.13527488412469	22
0.0507568015623168	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	22
0.0484498265984995	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	23
0.0462477072071347	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	23
0.0441456775406313	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	24
0.0421391883665261	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	25
0.0402238972219924	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	25
0.0383956590158405	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	25
0.0366505170576724	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	25
0.034984694494775	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	26
0.03339458613822	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	27
0.0318767506604795	0.0833333333333333	0.0265951974376761	0.0567381358956573	0.109928530771009	28
0.030427903147673	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	28
0.0290449079903253	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	29
0.0277247720972511	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	29
0.0264646384178786	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	30
0.0252617797589939	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	30
0.0241135928825235	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	31
0.0230175928715817	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	31
0.0219714077525906	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	31
0.0209727733618318	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	32
0.0200195284453223	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	32
0.019109609981408	0.09375	0.0248613697482926	0.0688886302517074	0.118611369748293	32
0.0182410487159528	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	32
0.0174119649004604	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	32
0.0166205642239045	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	32
0.0158651339294643	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	32
0.0151440391077595	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	33
0.0144557191585645	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	33
0.0137986844133425	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	33
0.0131715129112904	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	33
0.0125728473219183	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	33
0.0120013920075019	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	34
0.011455910219051	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	34
0.0109352214197254	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	34
0.0104381987299065	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	35
0.00996376648839339	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	35
0.00951089792444685	0.0729166666666667	0.0164579914794939	0.0564586751871727	0.0893746581461606	36
0.00907861293564229	0.0729166666666667	0.0164579914794939	0.0564586751871727	0.0893746581461606	37
0.00866597596672294	0.0729166666666667	0.0164579914794939	0.0564586751871727	0.0893746581461606	37
0.00827209398486229	0.0729166666666667	0.0164579914794939	0.0564586751871727	0.0893746581461606	37
0.00789611454695402	0.0729166666666667	0.0164579914794939	0.0564586751871727	0.0893746581461606	37
0.00753722395474654	0.0729166666666667	0.0164579914794939	0.0564586751871727	0.0893746581461606	37
0.00719464549382961	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	37
0.00686763775266159	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	37
0.00655549301799967	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	37
0.0062575357432601	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	38
0.00597312108649396	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00570163351481408	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00544248547225294	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00519511610816857	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00495899006344617	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00473359631186898	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00451844705415044	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00431307666223436	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00411704067157834	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00392991481923936	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00375129412567992	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.0035807920183075	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	39
0.00341803949485051	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	40
0.0032626843247601	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	40
0.00311439028690943	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	40
0.0029728364419408	0.0833333333333333	0.0218133684988699	0.0615199648344634	0.105146701832203	40
